"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",yandex,cpc,prof-frontend,3135,363,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,229,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,887,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,885,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,638,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,247,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,619,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,721,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,952,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,804,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,286,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,777,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,484,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,786,3135,3135,746098650
"2023-06-01",yandex,cpc,prof-frontend,3135,297,3135,3135,746098650
